id,sound,idiom,type,idiom_cyr
35,ɡʷ,Abadzex,stops,абадзехский
245,f,Abadzex,fricatives,абадзехский
246,s,Abadzex,fricatives,абадзехский
247,ʃ,Abadzex,fricatives,абадзехский
248,ŝ,Abadzex,fricatives,абадзехский
249,ŝʷ,Abadzex,fricatives,абадзехский
250,ɕ,Abadzex,fricatives,абадзехский
251,ɬ,Abadzex,fricatives,абадзехский
252,x,Abadzex,fricatives,абадзехский
253,χ,Abadzex,fricatives,абадзехский
254,χʷ,Abadzex,fricatives,абадзехский
255,ħ,Abadzex,fricatives,абадзехский
256,ʜ,Abadzex,fricatives,абадзехский
257,ʜʷ,Abadzex,fricatives,абадзехский
258,ʃ',Abadzex,fricatives,абадзехский
259,ŝ',Abadzex,fricatives,абадзехский
260,ŝ'ʷ,Abadzex,fricatives,абадзехский
261,ɕ',Abadzex,fricatives,абадзехский
262,ɬ',Abadzex,fricatives,абадзехский
263,z,Abadzex,fricatives,абадзехский
264,ʒ,Abadzex,fricatives,абадзехский
265,ẑ,Abadzex,fricatives,абадзехский
266,ẑʷ,Abadzex,fricatives,абадзехский
267,ʑ,Abadzex,fricatives,абадзехский
268,ɮ,Abadzex,fricatives,абадзехский
269,ɣ,Abadzex,fricatives,абадзехский
270,ʁ,Abadzex,fricatives,абадзехский
271,ʁʷ,Abadzex,fricatives,абадзехский
530,ts,Abadzex,affricates,абадзехский
531,tŝ,Abadzex,affricates,абадзехский
532,tŝʷ,Abadzex,affricates,абадзехский
533,tɕ,Abadzex,affricates,абадзехский
534,ts’,Abadzex,affricates,абадзехский
535,tŝ’,Abadzex,affricates,абадзехский
536,tŝ’ʷ,Abadzex,affricates,абадзехский
537,tɕ’,Abadzex,affricates,абадзехский
538,dz,Abadzex,affricates,абадзехский
539,dẑʷ,Abadzex,affricates,абадзехский
540,dʑ,Abadzex,affricates,абадзехский
623,m,Abadzex,sonorants,абадзехский
624,n,Abadzex,sonorants,абадзехский
625,j,Abadzex,sonorants,абадзехский
626,r,Abadzex,sonorants,абадзехский
